metric,value_us,cpu_ms,peak_mem_bytes
decode_latest_png,120,12,3456789
decode_latest_png,180,12,3456789
decode_latest_png,240,12,3456789
ffmpeg_start,20,12,3456789
ffmpeg_start,30,12,3456789
ffmpeg_start,40,12,3456789
ffmpeg_input,35,12,3456789
ffmpeg_input,45,12,3456789
ffmpeg_input,55,12,3456789
ffmpeg_decode,400,12,3456789
ffmpeg_decode,500,12,3456789
ffmpeg_decode,600,12,3456789
ffmpeg_png,70,12,3456789
ffmpeg_png,90,12,3456789
ffmpeg_png,110,12,3456789
png_grayscale,15,12,3456789
png_grayscale,25,12,3456789
png_grayscale,35,12,3456789
ncc_fullscreen,1000,12,3456789
ncc_fullscreen,1200,12,3456789
ncc_fullscreen,1400,12,3456789
ncc_region,200,12,3456789
ncc_region,250,12,3456789
ncc_region,300,12,3456789
template_read,60,12,3456789
template_read,80,12,3456789
template_read,100,12,3456789
template_preprocess,90,12,3456789
template_preprocess,110,12,3456789
template_preprocess,130,12,3456789
find_round,1500,12,3456789
find_round,1700,12,3456789
find_round,1900,12,3456789
